hotel_id,room_type,stay_date,day_of_week,is_weekend,season,holiday_flag,holiday_name,local_event_score,event_names,weather_score,search_demand
H001,standard,2025-08-25,0,False,monsoon,False,,0.0,,0.4025,0.6951
H001,deluxe,2025-08-25,0,False,monsoon,False,,0.0,,0.4025,0.6844
H001,premium,2025-08-25,0,False,monsoon,False,,0.0,,0.4025,0.6665
H001,suite,2025-08-25,0,False,monsoon,False,,0.0,,0.4025,0.6344
H001,standard,2025-08-26,1,False,monsoon,False,,0.0,,0.2841,0.8326
H001,deluxe,2025-08-26,1,False,monsoon,False,,0.0,,0.2841,0.8197
H001,premium,2025-08-26,1,False,monsoon,False,,0.0,,0.2841,0.7983
H001,suite,2025-08-26,1,False,monsoon,False,,0.0,,0.2841,0.7598
H001,standard,2025-08-27,2,False,monsoon,True,Ganesh Chaturthi,0.0,,0.393,1.0
H001,deluxe,2025-08-27,2,False,monsoon,True,Ganesh Chaturthi,0.0,,0.393,1.0
H001,premium,2025-08-27,2,False,monsoon,True,Ganesh Chaturthi,0.0,,0.393,1.0
H001,suite,2025-08-27,2,False,monsoon,True,Ganesh Chaturthi,0.0,,0.393,1.0
H001,standard,2025-08-28,3,False,monsoon,False,,0.0,,0.5162,0.5833
H001,deluxe,2025-08-28,3,False,monsoon,False,,0.0,,0.5162,0.5743
H001,premium,2025-08-28,3,False,monsoon,False,,0.0,,0.5162,0.5593
H001,suite,2025-08-28,3,False,monsoon,False,,0.0,,0.5162,0.5324
H001,standard,2025-08-29,4,False,monsoon,False,,0.0,,0.2394,0.9547
H001,deluxe,2025-08-29,4,False,monsoon,False,,0.0,,0.2394,0.94
H001,premium,2025-08-29,4,False,monsoon,False,,0.0,,0.2394,0.9155
H001,suite,2025-08-29,4,False,monsoon,False,,0.0,,0.2394,0.8713
H001,standard,2025-08-30,5,True,monsoon,False,,0.0,,0.4246,0.6086
H001,deluxe,2025-08-30,5,True,monsoon,False,,0.0,,0.4246,0.5993
H001,premium,2025-08-30,5,True,monsoon,False,,0.0,,0.4246,0.5836
H001,suite,2025-08-30,5,True,monsoon,False,,0.0,,0.4246,0.5555
H001,standard,2025-08-31,6,True,monsoon,False,,0.0,,0.4241,0.4253
H001,deluxe,2025-08-31,6,True,monsoon,False,,0.0,,0.4241,0.4187
H001,premium,2025-08-31,6,True,monsoon,False,,0.0,,0.4241,0.4078
H001,suite,2025-08-31,6,True,monsoon,False,,0.0,,0.4241,0.3881
H001,standard,2025-09-01,0,False,monsoon,False,,0.0,,0.3503,0.7988
H001,deluxe,2025-09-01,0,False,monsoon,False,,0.0,,0.3503,0.7865
H001,premium,2025-09-01,0,False,monsoon,False,,0.0,,0.3503,0.766
H001,suite,2025-09-01,0,False,monsoon,False,,0.0,,0.3503,0.729
H001,standard,2025-09-02,1,False,monsoon,False,,0.0,,0.3235,0.8508
H001,deluxe,2025-09-02,1,False,monsoon,False,,0.0,,0.3235,0.8377
H001,premium,2025-09-02,1,False,monsoon,False,,0.0,,0.3235,0.8158
H001,suite,2025-09-02,1,False,monsoon,False,,0.0,,0.3235,0.7765
H001,standard,2025-09-03,2,False,monsoon,False,,0.0,,0.3759,0.6906
